Amy R. Trachtman,A Rainy Day in New York
Amy R. Trachtman,Whatever Works
Amy R. Trachtman,The Waterboy
Amy R. Trachtman,Wonder Wheel
Amy R. Trachtman,Melinda and Melinda
Tom Sexton,Café Society
Tom Sexton,A Rainy Day in New York
Tom Sexton,Wonder Wheel
Tom Sexton,On the Rocks
Tom Sexton,The Longest Week
Tara Andrus,Café Society
Tara Andrus,Irrational Man
Tara Andrus,A Rainy Day in New York
Tara Andrus,Magic in the Moonlight
Tara Andrus,Wonder Wheel
Tara Andrus,The Babysitters
Tara Andrus,Rifkin's Festival
Tara Andrus,Heavy Petting
Dann Fink,Arrival
Dann Fink,The Greatest Showman
Dann Fink,Glass
Dann Fink,Ocean's Eight
Dann Fink,Hereditary
Dann Fink,Manchester by the Sea
Dann Fink,The Queen's Gambit
Dann Fink,The First Purge
Pedro Hernández,Blue Jasmine
Pedro Hernández,A Rainy Day in New York
Pedro Hernández,Delivery Man
Pedro Hernández,The Photograph
Bruce Winant,Arrival
Bruce Winant,Black Swan
Bruce Winant,Ice Age
Bruce Winant,Ocean's Eight
Bruce Winant,Salt
Bruce Winant,The Adjustment Bureau
Bruce Winant,The Queen's Gambit
Bruce Winant,The First Purge
Jason Lanci,Joker
Jason Lanci,A Rainy Day in New York
Jason Lanci,Wonder Wheel
Jason Lanci,The Yards
Steve Ramsey,Joker
Steve Ramsey,Bridge of Spies
Steve Ramsey,The Post
Steve Ramsey,The Blacklist
Steve Ramsey,A Rainy Day in New York
Steve Ramsey,Winter's Tale
Steve Ramsey,Awake
Steve Ramsey,Wonder Wheel
Ryan Webb,Joker
Ryan Webb,Bridge of Spies
Ryan Webb,A Rainy Day in New York
Ryan Webb,Wonder Wheel
Ryan Webb,Cat Person
Sharon Perlman,Café Society
Sharon Perlman,Irrational Man
Sharon Perlman,A Rainy Day in New York
Sharon Perlman,Wonder Wheel
Sharon Perlman,Dickinson
Alisa Lepselter,Midnight in Paris
Alisa Lepselter,Match Point
Alisa Lepselter,Vicky Cristina Barcelona
Alisa Lepselter,Blue Jasmine
Alisa Lepselter,Café Society
Alisa Lepselter,Irrational Man
Alisa Lepselter,A Rainy Day in New York
Alisa Lepselter,Magic in the Moonlight
Kate Rose Itzkowitz,Midnight in Paris
Kate Rose Itzkowitz,Vicky Cristina Barcelona
Kate Rose Itzkowitz,Blue Jasmine
Kate Rose Itzkowitz,Café Society
Kate Rose Itzkowitz,A Rainy Day in New York
Kate Rose Itzkowitz,Whatever Works
Kate Rose Itzkowitz,Wonder Wheel
Kate Rose Itzkowitz,You Will Meet a Tall Dark Stranger
Joe Landry,Red Dawn
Brad Robinson,Limitless
Brad Robinson,The Place Beyond the Pines
Brad Robinson,Blue Jasmine
Brad Robinson,Blue Valentine
Brad Robinson,Café Society
Brad Robinson,Irrational Man
Brad Robinson,Widows
Brad Robinson,A Rainy Day in New York
Mary Bailey,Men in Black
Mary Bailey,Limitless
Mary Bailey,Men in Black 3
Mary Bailey,Men in Black II
Mary Bailey,The Greatest Showman
Mary Bailey,The Intern
Mary Bailey,The Girl on the Train
Mary Bailey,The Adjustment Bureau
Danielle Rigby,Blue Jasmine
Danielle Rigby,Café Society
Danielle Rigby,Irrational Man
Danielle Rigby,A Rainy Day in New York
Danielle Rigby,Across the Universe
Danielle Rigby,Wonder Wheel
Danielle Rigby,The Kitchen
Danielle Rigby,Anything Else
Andrew Cavagnet,The Irishman
Andrew Cavagnet,Café Society
Andrew Cavagnet,A Rainy Day in New York
Andrew Cavagnet,Wonder Wheel
Andrew Cavagnet,"Peace, Love & Misunderstanding"
Elizabeth Klenk,Café Society
Elizabeth Klenk,Irrational Man
Elizabeth Klenk,A Rainy Day in New York
Elizabeth Klenk,Whatever Works
Elizabeth Klenk,Wonder Wheel
George Holtzer,The Big Sick
George Holtzer,A Rainy Day in New York
George Holtzer,The Meyerowitz Stories (New and Selected)
George Holtzer,New Amsterdam
George Holtzer,The Babysitters
George Holtzer,The Last Days of Disco
Chris Colombo,Glass
Chris Colombo,Sinister
Chris Colombo,You Were Never Really Here
Chris Colombo,A Rainy Day in New York
Chris Colombo,Buffy the Vampire Slayer
Chris Colombo,Elementary
Chris Colombo,The Manchurian Candidate
Chris Colombo,The Pink Panther 2
Roy Savoy,Bruce Almighty
Roy Savoy,The Adjustment Bureau
Roy Savoy,A Rainy Day in New York
Roy Savoy,This Is Where I Leave You
Roy Savoy,Ghost Town
Roy Savoy,Wildling
Roy Savoy,A Thousand and One
Joseph Garzero,Zoolander
Joseph Garzero,Café Society
Joseph Garzero,A Rainy Day in New York
Joseph Garzero,A Perfect Murder
Joseph Garzero,Wonder Wheel
Joseph Garzero,Stay
Joseph Garzero,The Thomas Crown Affair
Kimberly Amacker,10 Cloverfield Lane
Kimberly Amacker,Escape Plan
Kimberly Amacker,Jack Reacher: Never Go Back
Kimberly Amacker,The Host
Kimberly Amacker,Underwater
Kimberly Amacker,The Best of Me
Kimberly Amacker,A Rainy Day in New York
Kimberly Amacker,The Beguiled
Stacey Panepinto,The Twilight Saga: Breaking Dawn - Part 2
Stacey Panepinto,The Twilight Saga: Breaking Dawn - Part 1
Stacey Panepinto,Snow White and the Huntsman
Stacey Panepinto,The Lost City
Stacey Panepinto,Underwater
Stacey Panepinto,Charlie's Angels
Stacey Panepinto,American Ultra
Stacey Panepinto,Café Society
Nicole Wodowski,Café Society
Nicole Wodowski,A Rainy Day in New York
Nicole Wodowski,Wonder Wheel
Nicole Wodowski,Tracers
Nicole Wodowski,The Longest Week
Nicole Wodowski,Rebel in the Rye
Nicole Wodowski,Generation Um...
Susan Antonelli,Zombieland
Susan Antonelli,The Greatest Showman
Susan Antonelli,Big Fish
Susan Antonelli,National Treasure
Susan Antonelli,Body of Lies
Susan Antonelli,Café Society
Susan Antonelli,A Rainy Day in New York
Susan Antonelli,State of Play
Dana Wisher,A Rainy Day in New York
Dana Wisher,Delivery Man
Dana Wisher,Blood Ties
Dana Wisher,The Photograph
Alexis Weiss,A Rainy Day in New York
Alexis Weiss,Top Five
Alexis Weiss,City Island
Alexis Weiss,Never Forever
Alexis Weiss,Girls5eva
Alexis Weiss,Real: The Movie
Santo Loquasto,Vicky Cristina Barcelona
Santo Loquasto,Big
Santo Loquasto,Blue Jasmine
Santo Loquasto,Café Society
Santo Loquasto,Irrational Man
Santo Loquasto,A Rainy Day in New York
Santo Loquasto,Whatever Works
Santo Loquasto,Wonder Wheel
Frank Didio,Enchanted
Frank Didio,Batman Forever
Frank Didio,Café Society
Frank Didio,A Rainy Day in New York
Frank Didio,Little Nicky
Frank Didio,World Trade Center
Frank Didio,Unfaithful
Frank Didio,Wonder Wheel
Perry Grebin,Café Society
Perry Grebin,Irrational Man
